UID,title,authors,keywords,sessions,abstract
C1-1,大規模言語モデルを用いた検索モデルの中間学習のためのコーパス作成手法,柴田幸輝|加藤誠|百合草陽介,,C1:検索・文書分類(1),"商品検索などのドメイン特化の検索タスクにおいては，言語モデルが事前学習するような一般的なコーパスには無い，ドメイン独自の意味を持つ語が存在し，語彙の意味のギャップが存在することが懸念される．このようなドメイン間の語彙の意味のギャップを埋めるために，事前学習を用いた転移学習手法が提案されている．しかしながら，実務においては十分なサイズのコーパスを用意することが難しいような場合がある．その場合，事前学習を用いた転移学習手法の適用は難しい．そこで本研究では比較的小さな対象ドメインのコーパスが存在する場合に，言語モデルの MLM loss と二値分類モデルに基づいて汎用大規模コーパスから語彙の意味のギャップを埋めるようなコーパスを作成する手法を提案する．提案手法の性能を評価するため,提案手法とベースライン手法を用いて複数のドメインを対象に大規模汎用コーパスからコーパスを作成し検索タスクにて実験を行った．実験を行った結果，全てのドメインで提案手法が高い性能を示した．"
C1-2,テキスト変換によるリポジトリレベルのコード検索の改善,近藤瑞希|河原大輔|倉林利行,,C1:検索・文書分類(1),大規模言語モデルによるコード生成能力は年々上昇しているが、リポジトリレベルでのコード生成の研究はあまり活発ではない。リポジトリレベルのコード生成では複数ファイルの中から関連するのコードの参照が必要となる。コード間の類似度を取ることで関連するファイルを検索し言語モデルに入力し、生成を行う。本研究では関連するファイルの検索(コード検索)を、コード間の類似度ではなく、コードを言語モデルで変換したテキストで類似度を取る手法を提案する。テキストに変換することでコード検索の精度が向上することを確認した。
C1-3,クロスドメイン検索型質問応答のためのニューラル疎ベクトル検索,西田光甫|吉永直樹|西田京介,,C1:検索・文書分類(1),検索型質問応答はコーパスからの検索を用いて質問に回答するタスクである．質問応答で機密性の高いドメインを扱う場合，ターゲットドメインの文書を訓練時に使えない・ユーザ環境で運用する必要がある，の制約がある．そこで本研究では，訓練と推論のドメインが異なるクロスドメイン検索型質問応答タスクに，CPU で高速に動作する疎ベクトル検索で取り組んだ．提案手法は，ソースドメインで学習したモデルの埋め込み行列をターゲットドメインに低コストに適応させ，新たな学習可能パラメータの導入によって出力のスパース性を強めることで，2つの制約に対処する．評価実験により，精度と計算効率双方における提案手法の有効性を確認した．
C1-4,Twitterデータを用いたヘビーユーザ特定,小川歩|鈴木愛海|櫻井義尚,,C1:検索・文書分類(1),SNS が提供するデジタル活動データは，ユーザ行動や意見の収集に貢献している．特にヘビーユーザからのフィードバックは，企業にとって重要な意見であり，直接的な収益に結びつく．しかし，手動でのヘビーユーザ特定は時間と金銭がかかる．そこで，本研究では機械学習を使って自動的にヘビーユーザを特定し，ChatGPT と比較する実験を行う．研究の成果が企業やプロバイダーにヘビーユーザ特性の洞察を提供し，マーケティング戦略の最適化に寄与することが期待される．
C1-5,レビューの多角的な有用性判別のための分析と分類モデルの構築,屋比久博文|當間愛晃,,C1:検索・文書分類(1),多角的な有用性判別の実現を目的として EC サイトのレビュー体系分析を行った．分析の結果，レビューの傾向は「日常的に利用する商品」と「一時的に利用する商品」で異なることがわかった．「日常的に利用する商品」に焦点をあてさらに分析することで 9 つのラベルを考案し，各ラベルに自動で分類するモデルの構築と精度向上のための 3 つのパターンで実験を行った．その結果，損失関数の重み調整が精度向上に寄与することが確認された．分類精度の更なる改善に向けて，オーギュメンテーション，不均衡データになりづらいラベル設計や交差検証の検討が必要であると考えている．
D1-1,サンスクリット文献『リグ・ヴェーダ』の韻律構造にもとづくクラスタ分析,塚越柚季|大向一輝,,D1:社会言語学・その他の言語学,本研究は，サンスクリット語の最古の文献である『リグ・ヴェーダ』の詩節を韻律の観点から分析する．韻律構造のみに着目し，詩節を軽音節，重音節，単語境界，行境界の 4 つの要素に還元してクラスタリングを行う．その結果，従来同一の韻律名とされてきた詩節の中にも異なるクラスタを形成するものが存在することが明らかになった．また，行数の異なる類似の韻律がひとまとまりとなるなど，韻律構造の共通性が示された．今後，この手法を用いて印欧語族の複数言語の比較が可能となることが期待される．
D1-2,語彙の多様性，密度，洗練性から見た語彙の豊富さ,鄭弯弯,,D1:社会言語学・その他の言語学,語彙は言語の根幹として認識されている中で，その豊かさを量的に示す課題は，計量言語学分野において依然として難題であり続けている．語彙の豊富さは，言語習得，言語変化，心理学および認知科学などの理論的および実践的な分野で幅広く適用されている．しかし，語彙は複雑であり，その豊かさは通常，語彙の多様性，密度，洗練度といった三つの側面から測定できる．その中で，語彙の多様性は広く研究されているが，テキストの長さに依存しない指標が依然として不足している．一方で，語彙の密度と洗練性の特性は十分に扱われていない．本研究は，日本語における語彙の多様性，密度，および洗練性の特徴を描き出し，それらの相互関係を探求することを目的とする．
D1-3,豊かな記憶が創る複数形の諸相,皆川翔,,D1:社会言語学・その他の言語学,英語の複数形は，英語学習者がその初期に学ぶ基本的な文法事項の 1 つである．しかし単数形に形態素‘s’をつけるという操作は後付けの文法的な説明であり，それは必ずしも英語話者がどのように複数形を運用しているのかという説明にはならない．今研究は大規模な言語データを用いて，複数形という文法を創りあげる背後に後述する「豊かな記憶」が複雑なネットワークを構築していることを単数形と複数形の使用頻度差と類似度の観点から検証し，複数形の習得と運用のプロセスを具体的に可視化することを目的としている.
D1-4,国会集団語の発展段階の分析,松田謙次郎,,D1:社会言語学・その他の言語学,"国会審議に見られる集団語 4 語の言語的・社会的生成過程に関する分析結果を報告する．76 年分の国会会議録から「テレビ入り」「総理入り」「お経読み」「つるし」を抽出しデータを分析した．言語的過程として原義⇒{ヘッジ共起,意味転換}⇒文脈拡大の 3 段階が確認され，段階を経るごとに前段階の形式が追加され共存に至ることが確認された．またいずれの語も 1～3 の政党所属の複数議員から始まり全政党に拡散したことから，少なくとも拡散の開始は政党単位であると見做せる．従来の集団語研究に欠けていた実際の言語使用データを用いた形成・拡散過程の分析を可能にする点で，国会会議録は理想的な言語資源を提供する．"
D1-5,Stability of Translation Across Sound Effect Type: Focusing on Onomatopoeia in Japanese Shonen Manga,◊ToddHooper|MarikoTakahashi,,D1:社会言語学・その他の言語学,"This paper investigates whether giongo and gitaigo inJapanese shonen manga retain their type (sound words/ descriptive words) when they are translated into English. Three  manga  representing  different  genres  of  shonen manga were selected, and sound effects were manually extracted  from  the  original  Japanese  version  and  the English translated version, compiling a database of 1000 instances of onomatopoeia. Statistical analysis indicated that giongo tended to retain their type, whereas gitaigo were  often  translated  into  sound  words. Qualitative analysis then showed that context affected the translation of sound effects. The findings indicate that translation of onomatopoeia varies depending on their type."
E1-1,Visual Question Answering における視線情報を用いた質問の曖昧性解消,稲積駿|河野誠也|湯口彰重|川西康友|吉野幸一郎,,E1:実世界接地と言語処理,ユーザ(話者)と対話システムの会話には，指示語や省略に起因した曖昧さが含まれる．こうした曖昧さは，話者の視線や指差しといった情報で補完することが可能である．本研究では視線情報を用いた話者の質問の曖昧性解消を，Visual Question Answering(VQA)のタスクにおいて実現する．このため，視線情報と曖昧な質問が紐づいた視線情報付き VQAデータセット(GazeVQA)，および注視対象の情報を活用した質問応答モデルを提案する．GazeVQA による実験では，提案モデルが注視対象の推定を用いない既存モデルと比較して優れた性能を達成した．
E1-2,SNS上の絵文字位置パターンの分析とLevenshtein距離を用いたサンプル抽出,山崎由佳|西村綾夏,,E1:実世界接地と言語処理,本研究は，SNS 上の投稿における絵文字の位置のパターンに着目する．SNS 上の投稿では，複数の絵文字が規則的に配されることを通じて，情報伝達を助ける機能が発揮されることがある．このような事象を探るにおいては，投稿中の絵文字単体のみでなく全体の位置を取り扱うことが有効である．本研究は，特徴的なパターンを持つ投稿データを効率よく抽出するために，絵文字位置ラベルの列に対する Levenshtein 距離を用いたサンプル抽出（および分類）の方法を提案する．実際に，X（旧 Twitter）の投稿データを対象としてこれを実施し，得られた特徴的なパターンについて説明する．
E1-3,基盤モデルと古典プランニングを用いたレシピ記述からの実世界調理計画認識実行ロボットシステム,金沢直晃|河原塚健人|大日方慶樹|岡田慧|稲葉雅幸,,E1:実世界接地と言語処理,ロボットによる調理実行においては，自然言語のレシピ記述に基づいて作業を行えることが望ましいが，大規模言語モデルが登場した現在においても依然として課題が存在する．本研究では特に重要な 2つの課題に着目し，大規模言語モデルと PDDL 記述の古典プランニングによる実世界で実行可能なロボット調理行動計画と，視覚-言語モデルを用いた少数データからの食材状態認識学習を行うロボットシステムを提案した．実世界でロボットが調理を実行する実機実験により提案システムの有効性を確認した．
E1-4,実世界対話におけるフレーズグラウンディングモデルの評価と分析,植田暢大|波部英子|松井陽子|湯口彰重|河野誠也|川西康友|黒橋禎夫|吉野幸一郎,,E1:実世界接地と言語処理,実世界の共同作業における対話では，物体に対する参照表現が多く出現する．本研究ではフレーズグラウンディングの枠組みで，実世界対話における既存モデルの物体参照表現に対するフレーズグラウンディング性能を評価・分析し，課題を明らかにする．また，分析に基づいた改善手法の検討を行う．
E1-5,都市環境における歩行者支援のための画像説明文生成用データセットの作成,西村千恵子|栗田修平|関洋平,,E1:実世界接地と言語処理,視覚障害者の歩行支援では、周囲の視覚情報を他の感覚に変換して提供することが必要である。そこで本研究では、画像説明文生成のデータセットを作成し、視覚言語モデルのファインチューニングを行った。現在の画像説明文の生成技術は、写真の意味理解等の分野においては大きく進歩したが、写真から特定の目的を持って説明するものはまだ少ない。そこで本研究では、視覚障がい者や晴眼者の歩行支援を目的とし、街頭の歩行動画から取得した画像から、歩行時の注意文を生成した。性能評価では、ファインチューニングを施したモデルにて、ファインチューニング前よりも画像中の局所的な障害物について情報提供ができることが示唆された。
P1-1,話し言葉における副詞の生起位置と係り先までの距離の関係,島崎英香|丸山岳彦,,P1:ポスター,日本語の話し言葉（独話）を対象として、副詞の「生起位置」および「係り先までの距離」の 2 点について議論を行う。副詞は「程度副詞」「情態副詞」「陳述副詞」の 3 種に分類されるのが一般的であるが、これらの区別が「副詞が発話中に生起する位置」「副詞が修飾する文節までの距離」とどのように関連するかについて、『日本語話し言葉コーパス』（CSJ）に出現した事例をもとに分析した。
P1-2,Finding structure in spelling and pronunciation using Latent Dirichlet Allocation,黒田航,,P1:ポスター,"Latent Dirichet Allocation (LDA) was used to revealhidden regularities in spelling and pronunciation amonglanguages, such as English, French, German, Russian andSwahili. Words, either in spell or pronunciation, wereregarded as “documents” and their characters as “terms.”For spelling, spells from the languages were mixed andencoded using LDA and analyzed. For pronunciation, IPAsymbols for English, French and German were encoded andanalyzed in the same way. Both gave promising results."
P1-3,関西方言を対象とした形態素解析用辞書の開発,小木曽智信|尹熙洙|王竣磊|岡田純子,,P1:ポスター,現代語用の UniDic をベースに関西方言の会話書き起こしテキストを対象とした形態素解析用辞書を開発・公開した。学習用のコーパスとして、新たに短単位データとして整備した「関西弁コーパス」の一部と「日本語歴史コーパス」に含まれる近世・近代の関西の資料等を用いた。辞書にはコーパスに出現した未登録語等から方言の語彙を追加したほか、方言形の助動詞類を活用表を含めて整備・登録した。これによって現代の関西方言の書き起こしテキストを、「現代話し言葉 UniDic」を上回る精度で解析することが可能となった。
P1-4,医療縮約表現の分析と課題,相良かおる|黒田航|東条佳奈|西嶋佑太郎|麻子軒|山崎誠,,P1:ポスター,"医療記録に含まれる合成語には，複合語に加えて，助詞が省略された句や節に相当するものがある．我々はこれらを「医療縮約表現」とし，現在 813 語の医療縮約表現の分析を行い，1,336 種類の語構成要素に 53 種類の意味ラベルを付与し，3 回目の見直しを行っている．分析の過程で，医療縮約表現には，①「文」相当となるもの，②接頭語「未」が語末に来るもの，③「施行」「あり」「術」などの語が省略されるものがあることがわかった．また，医療縮約表現の選定方法，語構成要素の認定，意味分類および意味ラベルについての課題も明らかになった．"
P1-5,複数短単位版「分類語彙表番号-UniDic」対応表の整備と公開,片山久留美|髙橋雄太|菊池そのみ|小木曽智信,,P1:ポスター,コーパスに語義を付与することのできる語彙資源として「分類語彙表番号-UniDic 語彙素番号対応表」が公開されているが，収録語は分類語彙表の見出し語が UniDic 短単位と完全一致するものに留まっていた．本研究では，これを補完するデータとして複数短単位に分割される分類語彙表見出しと UniDic との対応表を作成した．このデータを活用することで，国立国語研究所のコーパスや短単位解析結果に対して本来の分類語彙表番号を付与することが可能になったほか，分類語彙表見出し語の構造について UniDic の情報を利用した分析を行うことが可能となった．本データの構築方法や公開形式について報告する．
P1-6,トークナイザーの圧縮率を用いた有害コンテンツの判定法,梶浦照乃|山内璃乃|小柳響子|東出紗也夏|倉光君郎,,P1:ポスター,本研究では，大規模言語モデルの学習に用いられる大規模コーパスの有害コンテンツ除去を目的として，トークナイザーの圧縮率をもとにテキストを有害/無害に判定する方法を提案する．まず，有害コンテンツから有害語彙モデルを構築する．次に，有害語彙モデルを用いてテキストをトークン化し，圧縮率を算出する．これにより，有害なコンテンツは高い圧縮率を示し，一般的な無害なコンテンツは比較的低い圧縮率を示すため，有害コンテンツの判定に利用できると考える．本論文では，提案手法を用いて大規模なテキストにおける有害コンテンツの判定を評価し，有害コンテンツを実用的な速度で正しく判定できることを確認した．
P1-7,「昭和・平成書き言葉コーパス」の語彙統計情報の公開,相田太一|近藤明日子|小木曽智信,,P1:ポスター,本研究では、1933 年から 2013 年までの間を 8 年おきにカバーする「昭和・平成書き言葉コーパス」に関して、𝑛-gram 頻度形式と SVMlight 形式の共起情報を公開した1）。以前公開された統計情報に比べて昭和・平成の時代に限定されているが、今回は雑誌に加えて新たにベストセラー書籍と新聞のレジスター（ドメイン）を追加し、複数の時期だけでなく複数のレジスターを跨いだ分析が可能になった。本稿では、自然言語処理と日本語学の二つの側面において、この統計情報を用いた研究の可能性を示す。
P1-8,『日本経済新聞記事オープンコーパス』に対するメタデータと語義情報付与,加藤祥|浅原正幸,,P1:ポスター,本研究では『日本経済新聞記事オープンコーパス』に対して、メタデータとして新聞記事分類情報を付与した。さらに語義情報として分類語彙表番号を付与した。本研究で付与した情報は、『現代日本語書き言葉均衡コーパス』に含まれる新聞記事サンプルとの対照が可能である。分類情報の分布から『日本経済新聞記事オープンコーパス』は「経済」記事に特化していることが確認された。また、各新聞記事の「経済」記事との詳細な記事分類情報の分布や語義情報の分布を比較した。
P1-9,A Task of Cloze Explanation Generation for ESL Learning,◊ZizhengZhang|MasatoMita|MamoruKomachi,,P1:ポスター,"Addressing the lack of dedicated tasks for generating lan-guage learner explanations of cloze questions, this paperintroduces a new task focused on cloze explanation gen-eration in language assessment, particularly for English asSecond Language (ESL) learners. To support this task,we present a meticulously curated data creation method,which expands expert-designed high-quality cloze ques-tions and explanations. This data aims to assess languageproﬁciency and facilitates language learning by oﬀeringinformative and accurate explanations."
P1-10,日本語意味変化検出の評価セットの拡張と検出手法の評価,凌志棟|相田太一|岡照晃|小町守,,P1:ポスター,時代とともに意味が変化する単語をコーパスから自動的に検出・分析する研究は、言語学者だけでなく自然言語処理の研究者からも注目を集めている。英語やドイツ語などの言語では、時期の異なる学習用コーパス（通時コーパス）の公開や評価用単語リストの作成が進んでいるが、日本語では不十分である。本研究では、我々が作成した日本語の評価用単語リストを拡張し、意味変化検出手法の性能評価を行った。頻度に基づく手法をベースラインとして、タイプベースとトークンベースの代表的な手法の性能を比較し、それぞれの手法の特徴を議論した。
P1-11,マルチモーダルな野鳥の検索を目的とした知識ベースの構築,寺本優香|小島諒介,,P1:ポスター,実フィールドでの野鳥観測は自然環境理解や環境モニタリングのために重要である．本研究では，野鳥の観測を補助するための野鳥検索システムの構築を目指し，キーワード検索に加え，知識グラフ，音響情報での検索を可能とするためのマルチモーダルな埋込みからなる知識ベースを構築する．これらの複数のモダリティを組み合わせることで，単一モダリティでは見つけることが困難な関係性を互いに補うことで，より柔軟な検索システムの構築が期待できる．本研究では，その第一歩として，個別のモダリティ間のから得られる埋め込みベクトルの違いを分析し可視化することで，複数のモダリティを鳥種検索に用いることの重要性を確認した．
P1-12,Zero-shot Definition Modelling for Portuguese,EdisonMarrese-Taylor|◊EricaKidoShimomoto|EnriqueReid,,P1:ポスター,"In this paper, we propose to study the task of deﬁni-tion modeling for a new language: Portuguese. To thatend, we collect monolingual dictionary data and performan in-depth empirical study to test the multilingual abili-ties of Large Language Models (LLMs), utilizing zero-shotand few-shot approaches. We analyze the performance ofLlama-2 and Mistral LLMs on monosemic terms, as ourcollected data does not contain context information forpolysemic words. To address this limitation, we furtherpropose to utilize LLMs to generate usage examples thatcan assist deﬁnition modeling of polysemic terms in the fu-ture. To validate our ﬁndings, we performed a pilot humanstudy to evaluate the quality of generated deﬁnitions andusage examples. Our results are encouraging and suggestthat LLMs can generate plausible deﬁnitions of words inPortuguese and that the COMET metric aligns well withthe human evaluation. Finally, our human study indicatesthat using LLMs could be an alternative to obtain contextinformation of polysemic words in Portuguese."
P1-13,木形状分布の分析：自然言語の句構造とランダム木について,石井太河|宮尾祐介,,P1:ポスター,自然言語の構文木はランダムではない．では，自然言語の構文木は「木」として，どのような性質を持っているのか？本研究では，特に，左右の分岐の深さなどの木の形状に着目する．構文木の形状は，言語により異なることがあり，多様な言語を特徴付ける要素として重要である．一方で，同一言語内でも構文木の形状は一定ではなく，定性的には特徴を捉えきれない．そこで，本研究では，句構造ツリーバンクに関して木形状の分布を計算し，言語による差異・共通点をより詳細に調査する．また，ランダム生成した木と比較し，自然言語特有の現象について考察する．
P1-14,読解時の視線認識情報と音声発話コーパスを用いたポーズの予測とその比較,林小春|狩野芳伸,,P1:ポスター,人間が連続した文章を発話する際、文章中に音声的なポーズが発生する。また、ポーズの挿入は発話時だけではなく音読や黙読といった読解時も同様に行われ、人間は頭の中で文章にポーズを挿入しながら読解していると考えられる。そこで本研究では、文章読解時の視線認識情報データと音声発話コーパスの二種類を用いて様々な訓練と評価の組み合わせを作り、BERT のファインチューニングにより文章中におけるポーズの適切な挿入箇所を予測した。その結果とデータを比較することで、話し言葉と読解では大きくポーズの挿入パターンが異なることや、各データ内でも個人差やポーズの性質差があり、異なる非均衡パターンを生んでいるとの示唆を得た。
P1-15,性格特性用語におけるビッグファイブ構造の単語分散表現を用いた検討,鶴田健介|久野雅樹,,P1:ポスター,性格の心理学的研究におけるビッグファイブとは、人間の性格が 5 つの主要な特性因子によって表されるという考え方であり、性格構造のモデルとして有力なものである。本研究では、自然言語処理を活用し性格特性用語をビッグファイブに基づいて分類することを目的とする。日本語と英語の性格特性用語を単語分散表現に変換し、機械学習による分類を行ったところ、性格特性用語からビッグファイブの構造が抽出された。ただし日本語と英語とでビッグファイブの構造には違いがあることが確認できた。また各因子の分類性能においても差異が認められた。
P1-16,ArgVantage: the New Pedagogical System to Learn Argumentation,◊CaméliaGuerraoui|PaulReisert|NaoyaInoue|WenzhiWang|ShoichiNaito|JungminChoi|IrfanRobbani|KentaroInui,,P1:ポスター,"Argumentation in education can help students developtheir critical thinking, and computational models for argu-mentation have been developed to further assist this pro-cess. While existing argumentative systems have provenbeneﬁcial, existing works have emphasized a need for moreDetailed, Visual, Interactive, and Personalized (DVIP)feedback. In response, we introduce ArgVantage, an open-source web application designed to enhance users’ argu-mentation skills. By integrating the DVIP dimensions,ArgVantage aims to provide a comprehensive and interac-tive learning experience. This paper navigates through thedesign and implementation of ArgVantage, highlightingthe rationale behind its integration of the DVIP principleand discussing feasible evaluation methods."
P1-17,生成AIを用いた鹿児島方言生成―日琉諸語の低資源言語・方言の生成に向けた試み―,坂井美日,,P1:ポスター,本稿では GPT-4 をベースに、低資源方言のひとつである鹿児島方言の生成を試みる。一般に低資源言語・方言の生成は困難であり、鹿児島方言についても zero-shot では精度 0%である。本稿では、方言のテキストと辞書を標準日本語と対訳の形で整備し、更にその体系の言語知識をプロンプトに入力することで、精度を向上させられるということを示す。また、当方言については、言語知識を仮名ベースの分析を示す方が精度を向上させた。本稿の提案手法による精度は、現時点で 85%以上である。
P1-18,日本語と英語の歌詞における性差のテキスト分類を用いた検討,木田菜月|久野雅樹,,P1:ポスター,本研究では，歌手の性差による歌詞の違いに注目し，その違いを明らかにするためにニューラルネットワークモデルで日本語の歌詞を学習、歌詞から歌手の性別予測を行うテキスト分類を行い，その性能から性別による差異の実態を明らかにした．また，性別予測の際に算出される予測値を観察することで，性差による特徴や歌手ごとの違いが明らかになった．さらに，英語詞の楽曲でも同様に性差によるテキスト分類を行い，日本語歌詞での結果と比較すると違いが見られた．
P1-19,大規模言語モデルへの刈り込みによる精神疾患の思考障害シミュレーション,直江大河|原田宥都|前田ありさ|森田早織|中村啓信|大関洋平|沖村宰,,P1:ポスター,精神疾患の病態は、生物学的知見の集積にも関わらず未解決な点が多い．近年、精神疾患の脳変調の仮説と精神症状の関係を数理モデルで繋げ、理論的示唆を与える計算論的精神医学が注目されている．本研究は、脳の過剰なシナプス刈り込みが精神疾患の病態と関係するという仮説を、大規模言語モデルへの刈り込み（Pruning）に対応づけた障害実験で検証した．刈り込みをしたモデルでの統合失調症の思考障害様の言語出力を、臨床評価尺度と埋め込み表現を用いた定量分析で明らかにした.失語症様や語用論障害様の出力も認めた．ヒトの脳と大規模言語モデルの対応は慎重に考えるべきだが、本研究は精神医学に重要な理論的示唆を与える．
P1-20,単語ベクトルに基づく新たな meaning-frequency law の検証,永田亮|田中久美子,,P1:ポスター,本稿では，meaning-frequency law として知られる単語頻度と語義数に関する法則を従来とは全く異なるアプローチで検証し，従来より多様な種類の単語について同法則が成り立つことを示す．また，その過程で，同法則を通じて，言語モデル（具体的にはBERT）の能力差を計測できることを示す．
